geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
DOP 18-12-SSC02 2017-10-16	38.40275	38.40275	-121.61614	-121.61614
DOP 18-12-RV01 2017-10-17	38.097141	38.097141	-121.6862	-121.6862
DOP 18-12-RV02 2017-10-17	38.102153	38.102153	-121.714	-121.714
DOP 18-12-SM01 2017-10-17	38.178561	38.178561	-122.00615	-122.00615
DOP 18-12-HB01 2017-10-17	38.07582	38.07582	-121.98572	-121.98572
DOP 18-12-CS01 2017-10-18	38.33103	38.33103	-121.65137	-121.65137
DOP 18-12-CS02 2017-10-18	38.262716	38.262716	-121.69117	-121.69117
DOP 18-12-SBM01 2017-10-18	38.07582	38.07582	-121.98572	-121.98572
DOP 18-12-SBM02 2017-10-18	38.08422	38.08422	-122.05312	-122.05312
DOP 18-12-SRU01 2017-10-19	38.435549	38.435549	-121.52734	-121.52734
DOP 18-12-SRU02 2017-10-19	38.269083	38.269083	-121.58921	-121.58921
DOP 18-12-LSJ01 2017-10-19	38.031483	38.031483	-121.85717	-121.85717
DOP 18-12-LSJ02 2017-10-19	38.025791	38.025791	-121.77785	-121.77785
DOP 18-12-LNR01 2017-10-20	38.167371	38.167371	-122.29282	-122.29282
DOP 18-12-CQS01 2017-10-20	38.031916	38.031916	-122.16505	-122.16505
DOP 18-14-RV01 2017-10-30	38.155739	38.155739	-121.68357	-121.68357
DOP 18-14-RV02 2017-10-30	38.116142	38.116142	-121.70116	-121.70116
DOP 18-14-SM01 2017-10-30	38.173902	38.173902	-121.94776	-121.94776
DOP 18-14-SBM01 2017-10-30	38.08488	38.08488	-122.05	-122.05
DOP 18-14-SBM02 2017-10-31	38.072731	38.072731	-121.99374	-121.99374
DOP 18-14-CS01 2017-10-31	38.317931	38.317931	-121.65136	-121.65136
DOP 18-14-CS02 2017-10-31	38.239835	38.239835	-121.68534	-121.68534
DOP 18-14-HB01 2017-10-31	38.062945	38.062945	-121.96134	-121.96134
DOP 18-14-LSJ03 2017-11-01	38.029941	38.029941	-121.84907	-121.84907
DOP 18-14-SJT01 2017-11-01	38.085356	38.085356	-121.63991	-121.63991
DOP 18-14-SRR01 2017-11-01	38.130022	38.130022	-121.58295	-121.58295
DOP 18-14-SRU01 2017-11-01	38.400481	38.400481	-121.51317	-121.51317
DOP 18-14-SSC01 2017-11-02	38.391036	38.391036	-121.6217	-121.6217
DOP 18-14-SSC02 2017-11-02	38.446846	38.446846	-121.59591	-121.59591
DOP 18-16-SBW01 2017-11-13	38.047454	38.047454	-122.1056	-122.1056
DOP 18-16-SBW04 2017-11-13	38.060779	38.060779	-122.10768	-122.10768
DOP 18-16-SRU01 2017-11-13	38.382884	38.382884	-121.51961	-121.51961
DOP 18-16-SBW02 2017-11-14	38.05843333	38.05843333	-122.06215	-122.06215
DOP 18-16-SBW03 2017-11-14	38.067306	38.067306	-122.09716	-122.09716
DOP 18-16-LSR02 2017-11-14	38.059053	38.059053	-121.79514	-121.79514
DOP 18-16-RV01 2017-11-14	38.102848	38.102848	-121.7093	-121.7093
DOP 18-16-SBM01 2017-11-15	38.059834	38.059834	-122.04317	-122.04317
DOP 18-16-SBM02 2017-11-15	38.098696	38.098696	-122.03976	-122.03976
DOP 18-16-SSC01 2017-11-15	38.561184	38.561184	-121.54152	-121.54152
DOP 18-16-SSC02 2017-11-15	38.391793	38.391793	-121.62175	-121.62175
DOP 18-16-SBM03 2017-11-16	38.072525	38.072525	-122.00585	-122.00585
DOP 18-16-HB01 2017-11-16	38.047603	38.047603	-121.93535	-121.93535
DOP 18-16-CS02 2017-11-16	38.247671	38.247671	-121.67566	-121.67566
DOP 18-16-CS03 2017-11-16	38.259649	38.259649	-121.7416	-121.7416
DOP 18-18-SM01 2017-11-27	38.185694	38.185694	-121.96937	-121.96937
DOP 18-18-SBM01 2017-11-27	38.098717	38.098717	-122.05037	-122.05037
DOP 18-18-SSC01 2017-11-27	38.56105	38.56105	-121.54679	-121.54679
DOP 18-18-SSC02 2017-11-27	38.550716	38.550716	-121.57988	-121.57988
DOP 18-18-SBM02 2017-11-28	38.083844	38.083844	-121.9974	-121.9974
DOP 18-18-HB01 2017-11-28	38.045003	38.045003	-121.92601	-121.92601
DOP 18-18-RV01 2017-11-28	38.182	38.182	-121.66424	-121.66424
DOP 18-18-LSR01 2017-11-28	38.061944	38.061944	-121.85373	-121.85373
DOP 18-18-CS01 2017-11-29	38.378628	38.378628	-121.63165	-121.63165
DOP 18-18-CS02 2017-11-29	38.313388	38.313388	-121.65267	-121.65267
DOP 18-18-SRU01 2017-11-30	38.46584	38.46584	-121.50442	-121.50442
DOP 18-18-SRR01 2017-11-30	38.182248	38.182248	-121.57024	-121.57024
DOP 19-09-CSS-01 2018-09-24	38.323316	38.323316	-121.693589	-121.693589
DOP 19-09-CSS-02 2018-09-24	38.246296	38.246296	-121.70394	-121.70394
DOP 19-09-CSS-03 2018-09-24	38.250164	38.250164	-121.71847	-121.71847
DOP 19-09-SBM-01 2018-09-25	38.085331	38.085331	-121.9892	-121.9892
DOP 19-09-SBM-02 2018-09-25	38.039893	38.039893	-122.115777	-122.115777
DOP 19-09-RVV-01 2018-09-26	38.16403	38.16403	-121.676333	-121.676333
DOP 19-09-SMM-02 2018-09-26	38.116095	38.116095	-122.060354	-122.060354
DOP 19-09-LSR-01 2018-09-26	38.086863	38.086863	-121.749524	-121.749524
DOP 19-09-SMM-04 2018-09-26	38.179164	38.179164	-122.053703	-122.053703
DOP 19-09-RVV-02 2018-09-26	38.101785	38.101785	-121.727302	-121.727302
DOP 19-09-LSC-01 2018-09-27	38.30263	38.30263	-121.654491	-121.654491
DOP 19-09-LSC-02 2018-09-27	38.392661	38.392661	-121.621155	-121.621155
DOP 19-09-USC-01 2018-09-27	38.497655	38.497655	-121.584689	-121.584689
DOP 19-10-CSS-03 2018-10-01	38.246874	38.246874	-121.706732	-121.706732
DOP 19-10-SMM-01 2018-10-01	38.13065	38.13065	-121.91538	-121.91538
DOP 19-10-CSS-01 2018-10-01	38.259731	38.259731	-121.763475	-121.763475
DOP 19-10-SMM-03 2018-10-01	38.159462	38.159462	-122.048256	-122.048256
DOP 19-10-SMM-02 2018-10-01	38.148969	38.148969	-122.056601	-122.056601
DOP 19-10-RVV-01 2018-10-02	38.081517	38.081517	-121.729202	-121.729202
DOP 19-10-RVV-03 2018-10-02	38.099626	38.099626	-121.708226	-121.708226
DOP 19-10-RVV-02 2018-10-02	38.121142	38.121142	-121.70178	-121.70178
DOP 19-10-CSS-02 2018-10-02	38.270113	38.270113	-121.693731	-121.693731
DOP 19-10-SBW-01 2018-10-03	38.081706	38.081706	-122.066506	-122.066506
DOP 19-10-USC-01 2018-10-03	38.524044	38.524044	-121.584704	-121.584704
DOP 19-10-USC-02 2018-10-03	38.542504	38.542504	-121.584421	-121.584421
DOP 19-10-HBB-01 2018-10-03	38.056547	38.056547	-121.966031	-121.966031
DOP 19-10-CFF-01 2018-10-03	38.052174	38.052174	-121.835028	-121.835028
DOP 19-10-LSC-01 2018-10-04	38.388205	38.388205	-121.623306	-121.623306
DOP 19-11-SBW-01 2018-10-09	38.038549	38.038549	-122.140003	-122.140003
DOP 19-11-SBM-01 2018-10-09	38.057961	38.057961	-121.997136	-121.997136
DOP 19-11-CFF-01 2018-10-09	38.056841	38.056841	-121.87654	-121.87654
DOP 19-11-RVV-03 2018-10-10	38.111002	38.111002	-121.71194	-121.71194
DOP 19-11-RVV-02 2018-10-10	38.148679	38.148679	-121.686357	-121.686357
DOP 19-11-RVV-01 2018-10-10	38.158651	38.158651	-121.67973	-121.67973
DOP 19-11-CSS-01 2018-10-11	38.325729	38.325729	-121.652711	-121.652711
DOP 19-11-SMM-03 2018-10-11	38.167074	38.167074	-121.93989	-121.93989
DOP 19-11-CSS-02 2018-10-11	38.253166	38.253166	-121.671914	-121.671914
DOP 19-11-SMM-02 2018-10-11	38.21161	38.21161	-122.034601	-122.034601
DOP 19-11-CSS-03 2018-10-11	38.23957	38.23957	-121.684727	-121.684727
DOP 19-11-SMM-01 2018-10-11	38.147394	38.147394	-122.058093	-122.058093
DOP 19-12-GBB-01 2018-10-15	38.105562	38.105562	-122.046888	-122.046888
DOP 19-12-CSS-01 2018-10-15	38.319518	38.319518	-121.692679	-121.692679
DOP 19-12-GBB-02 2018-10-15	38.106377	38.106377	-122.059998	-122.059998
DOP 19-12-GBB-03 2018-10-15	38.098615	38.098615	-122.040098	-122.040098
DOP 19-12-CSS-03 2018-10-15	38.290051	38.290051	-121.692594	-121.692594
DOP 19-12-CSS-02 2018-10-15	38.241641	38.241641	-121.681459	-121.681459
DOP 19-12-LSR-01 2018-10-16	38.071553	38.071553	-121.777545	-121.777545
DOP 19-12-LSR-02 2018-10-16	38.061136	38.061136	-121.793413	-121.793413
DOP 19-12-RVV-01 2018-10-16	38.114988	38.114988	-121.685861	-121.685861
DOP 19-12-SBM-01 2018-10-17	38.097603	38.097603	-122.023576	-122.023576
DOP 19-12-USC-02 2018-10-17	38.561303	38.561303	-121.556885	-121.556885
DOP 19-12-SBW-02 2018-10-17	38.06102	38.06102	-122.103486	-122.103486
DOP 19-12-USC-01 2018-10-17	38.499973	38.499973	-121.584609	-121.584609
DOP 19-12-SBW-01 2018-10-17	38.064425	38.064425	-122.060802	-122.060802
DOP 19-12-LSC-01 2018-10-18	38.249455	38.249455	-121.669443	-121.669443
DOP 19-13-LSC-01 2018-10-22	38.183086	38.183086	-121.662259	-121.662259
DOP 19-13-CFF-01 2018-10-22	38.062603	38.062603	-122.023682	-122.023682
DOP 19-13-LSC-02 2018-10-22	38.268642	38.268642	-121.663341	-121.663341
DOP 19-13-HBB-01 2018-10-22	38.072571	38.072571	-121.953107	-121.953107
DOP 19-13-SBW-01 2018-10-22	38.057854	38.057854	-122.065725	-122.065725
DOP 19-13-LSC-03 2018-10-22	38.359772	38.359772	-121.636288	-121.636288
DOP 19-13-LSR-01 2018-10-25	38.060176	38.060176	-121.788372	-121.788372
DOP 19-13-SMM-01 2018-10-25	38.077075	38.077075	-121.883753	-121.883753
DOP 19-13-LSR-02 2018-10-25	38.083778	38.083778	-121.742572	-121.742572
DOP 19-13-GBB-01 2018-10-25	38.11656	38.11656	-122.059568	-122.059568
DOP 19-13-RVV-01 2018-10-25	38.131619	38.131619	-121.692615	-121.692615
DOP 19-13-SMM-02 2018-10-25	38.176592	38.176592	-122.057128	-122.057128
DOP 19-13-CSS-01 2018-10-25	38.329846	38.329846	-121.667241	-121.667241
DOP 19-13-CSS-02 2018-10-26	38.277447	38.277447	-121.709169	-121.709169
DOP 19-13-CSS-03 2018-10-26	38.315238	38.315238	-121.692601	-121.692601
DOP 19-14-CSS-03 2018-10-29	38.25637	38.25637	-121.689413	-121.689413
DOP 19-14-SMM-01 2018-10-29	38.11793	38.11793	-121.888429	-121.888429
DOP 19-14-CSS-01 2018-10-29	38.24344	38.24344	-121.688024	-121.688024
DOP 19-14-CSS-02 2018-10-29	38.280824	38.280824	-121.664606	-121.664606
DOP 19-14-SMM-03 2018-10-29	38.185365	38.185365	-121.929343	-121.929343
DOP 19-14-SMM-02 2018-10-29	38.120135	38.120135	-122.058991	-122.058991
DOP 19-14-LSR-01 2018-10-30	38.059257	38.059257	-121.790801	-121.790801
DOP 19-14-LSR-02 2018-10-30	38.089496	38.089496	-121.742612	-121.742612
DOP 19-14-RVV-01 2018-10-30	38.162169	38.162169	-121.67964	-121.67964
DOP 19-14-LSC-01 2018-10-31	38.334983	38.334983	-121.646954	-121.646954
DOP 19-14-HBB-01 2018-10-31	38.073051	38.073051	-121.958574	-121.958574
DOP 19-14-LSC-02 2018-10-31	38.368997	38.368997	-121.631936	-121.631936
DOP 19-14-SBW-02 2018-10-31	38.092278	38.092278	-122.074494	-122.074494
DOP 19-14-SBW-01 2018-10-31	38.090101	38.090101	-122.074792	-122.074792
DOP 19-14-LSC-03 2018-10-31	38.470136	38.470136	-121.584724	-121.584724
DOP 19-14-CFF-01 2018-10-31	38.038446	38.038446	-121.836625	-121.836625
DOP 19-14-CFF-02 2018-10-31	38.048058	38.048058	-121.89484	-121.89484
DOP 19-15-SBM-02 2018-11-05	38.06287	38.06287	-122.031787	-122.031787
DOP 19-15-CSS-02 2018-11-05	38.26491	38.26491	-121.697602	-121.697602
DOP 19-15-SBW-01 2018-11-05	38.054841	38.054841	-122.085194	-122.085194
DOP 19-15-CSS-06 2018-11-05	38.281606	38.281606	-121.693132	-121.693132
DOP 19-15-SBM-01 2018-11-05	38.099347	38.099347	-122.049261	-122.049261
DOP 19-15-LSR-01 2018-11-06	38.066643	38.066643	-121.823343	-121.823343
DOP 19-15-LSR-02 2018-11-06	38.080926	38.080926	-121.754578	-121.754578
DOP 19-15-RVV-01 2018-11-06	38.16372	38.16372	-121.676701	-121.676701
DOP 19-15-SMM-03 2018-11-07	38.134198	38.134198	-121.914377	-121.914377
DOP 19-15-LSC-01 2018-11-07	38.440623	38.440623	-121.598868	-121.598868
DOP 19-15-USC-02 2018-11-07	38.493901	38.493901	-121.584744	-121.584744
DOP 19-15-SMM-01 2018-11-07	38.176605	38.176605	-122.010821	-122.010821
DOP 19-15-USC-01 2018-11-07	38.560823	38.560823	-121.559712	-121.559712
DOP 19-15-GBB-01 2018-11-07	38.104424	38.104424	-122.065263	-122.065263
DOP 19-16-LSC-01 2018-11-14	38.180331	38.180331	-121.663321	-121.663321
DOP 19-16-SBW-01 2018-11-14	38.078779	38.078779	-122.08609	-122.08609
DOP 19-16-LSC-02 2018-11-14	38.239403	38.239403	-121.671611	-121.671611
DOP 19-16-SBM-02 2018-11-14	38.097337	38.097337	-122.034186	-122.034186
DOP 19-16-LSC-03 2018-11-14	38.354497	38.354497	-121.638502	-121.638502
DOP 19-16-SBM-01 2018-11-14	38.083708	38.083708	-121.999344	-121.999344
DOP 19-16-GBB-01 2018-11-15	38.108227	38.108227	-122.040604	-122.040604
DOP 19-16-RVV-01 2018-11-15	38.177888	38.177888	-121.66632	-121.66632
DOP 19-16-SMM-01 2018-11-15	38.128174	38.128174	-122.056813	-122.056813
DOP 19-16-RVV-02 2018-11-15	38.084486	38.084486	-121.711477	-121.711477
DOP 19-16-SMM-02 2018-11-15	38.15882	38.15882	-122.049915	-122.049915
DOP 19-16-RVV-03 2018-11-15	38.108261	38.108261	-121.714652	-121.714652
DOP 19-17-CSS-01 2018-11-19	38.323577	38.323577	-121.653174	-121.653174
DOP 19-17-GBB-01 2018-11-19	38.11355	38.11355	-122.038258	-122.038258
DOP 19-17-CSS-03 2018-11-19	38.262024	38.262024	-121.696433	-121.696433
DOP 19-17-GBB-02 2018-11-19	38.106155	38.106155	-122.048208	-122.048208
DOP 19-17-SMM-01 2018-11-19	38.179356	38.179356	-122.003945	-122.003945
DOP 19-17-CSS-04 2018-11-19	38.253766	38.253766	-121.68758	-121.68758
DOP 19-17-RVV-01 2018-11-20	38.159444	38.159444	-121.682181	-121.682181
DOP 19-17-RVV-02 2018-11-20	38.084728	38.084728	-121.71139	-121.71139
DOP 19-17-RVV-03 2018-11-20	38.093795	38.093795	-121.732584	-121.732584
DOP 19-17-USC-01 2018-11-21	38.561935	38.561935	-121.555442	-121.555442
DOP 19-17-CFF-01 2018-11-21	38.061834	38.061834	-121.85253	-121.85253
DOP 19-17-LSC-02 2018-11-21	38.454667	38.454667	-121.592024	-121.592024
DOP 19-17-HBB-01 2018-11-21	38.051446	38.051446	-121.957216	-121.957216
DOP 19-17-SBM-01 2018-11-21	38.072082	38.072082	-122.010109	-122.010109
DOP 19-17-LSC-01 2018-11-21	38.238866	38.238866	-121.67196	-121.67196
DOP 19-18-CSS-03 2018-11-26	38.258734	38.258734	-121.693381	-121.693381
DOP 19-18-SMM-04 2018-11-26	38.117639	38.117639	-122.062632	-122.062632
DOP 19-18-CSS-01 2018-11-26	38.237245	38.237245	-121.682731	-121.682731
DOP 19-18-SMM-02 2018-11-26	38.208533	38.208533	-122.034103	-122.034103
DOP 19-18-CSS-02 2018-11-26	38.261214	38.261214	-121.670265	-121.670265
DOP 19-18-SMM-03 2018-11-26	38.136308	38.136308	-121.91267	-121.91267
DOP 19-18-LSR-01 2018-11-28	38.065425	38.065425	-121.787322	-121.787322
DOP 19-18-SBM-01 2018-11-28	38.082641	38.082641	-122.046341	-122.046341
DOP 19-18-LSR-02 2018-11-28	38.074418	38.074418	-121.761544	-121.761544
DOP 19-18-HBB-01 2018-11-28	38.052464	38.052464	-121.964597	-121.964597
DOP 19-18-CFF-01 2018-11-28	38.060163	38.060163	-121.8666	-121.8666
DOP 19-18-RVV-01 2018-11-28	38.149449	38.149449	-121.687843	-121.687843
DOP 19-18-USC-01 2018-11-29	38.561164	38.561164	-121.554854	-121.554854
DOP 19-18-USC-02 2018-11-29	38.53596	38.53596	-121.584808	-121.584808
DOP 19-18-LSC-01 2018-11-29	38.289312	38.289312	-121.658403	-121.658403
DOP 19-36-RVV-01 2019-04-01	38.160906	38.160906	-121.683285	-121.683285
DOP 19-36-CSS-01 2019-04-01	38.396235	38.396235	-121.623307	-121.623307
DOP 19-36-CSS-02 2019-04-01	38.307495	38.307495	-121.732757	-121.732757
DOP 19-36-CSS-03 2019-04-01	38.24637	38.24637	-121.697312	-121.697312
DOP 19-36-LSC-01 2019-04-01	38.343768	38.343768	-121.643212	-121.643212
DOP 19-36-RVV-02 2019-04-01	38.135786	38.135786	-121.691456	-121.691456
DOP 19-36-USC-01 2019-04-01	38.565705	38.565705	-121.552429	-121.552429
DOP 19-36-USC-02 2019-04-01	38.481376	38.481376	-121.584108	-121.584108
DOP 19-36-GBB-02 2019-04-02	38.099454	38.099454	-122.057969	-122.057969
DOP 19-36-CFF-01 2019-04-04	38.069771	38.069771	-121.844932	-121.844932
DOP 19-36-HBB-01 2019-04-04	38.046977	38.046977	-121.936631	-121.936631
DOP 19-36-SBM-01 2019-04-04	38.0589	38.0589	-121.988017	-121.988017
DOP 19-36-GBB-01 2019-04-05	38.100038	38.100038	-122.035395	-122.035395
DOP 19-36-LSR-01 2019-04-05	38.060386	38.060386	-121.798021	-121.798021
DOP 19-36-SMM-01 2019-04-05	38.138757	38.138757	-122.082014	-122.082014
DOP 19-37-LSR-01 2019-04-08	38.082131	38.082131	-121.744654	-121.744654
DOP 19-37-RVV-03 2019-04-08	38.103481	38.103481	-121.685479	-121.685479
DOP 19-37-RVV-01 2019-04-08	38.175864	38.175864	-121.670536	-121.670536
DOP 19-37-CFF-01 2019-04-09	38.028583	38.028583	-121.830553	-121.830553
DOP 19-37-CSS-01 2019-04-10	38.273645	38.273645	-121.694182	-121.694182
DOP 19-37-CSS-02 2019-04-10	38.24072	38.24072	-121.686702	-121.686702
DOP 19-37-CSS-03 2019-04-10	38.304979	38.304979	-121.692632	-121.692632
DOP 19-37-SBM-01 2019-04-10	38.073974	38.073974	-121.974482	-121.974482
DOP 19-37-SBW-01 2019-04-10	38.064856	38.064856	-122.098241	-122.098241
DOP 19-37-SMM-01 2019-04-10	38.13577	38.13577	-122.060795	-122.060795
DOP 19-37-GBB-01 2019-04-12	38.099303	38.099303	-122.040955	-122.040955
