StationCode,SampleDate,Lat,Long
NZEZ6,5/18/2009,38.0463,-121.9183
NZEZ2,6/17/2009,38.061,-121.865
NZEZ6,6/17/2009,38.0593,-121.958
NZEZ2,7/15/2009,38.061,-121.7992
NZEZ6,7/15/2009,38.0512,-121.8783
NZEZ2,8/14/2009,38.071,-121.7775
NZEZ6,8/14/2009,38.0625,-121.8205
NZEZ2,9/11/2009,38.0845,-121.7391
NZEZ6,9/11/2009,38.0608,-121.815
NZEZ2,10/9/2009,38.1002,-121.7257
NZEZ6,10/9/2009,38.0672,-121.785
NZEZ2,11/6/2009,38.0942,-121.7357
NZEZ6,11/6/2009,38.0602,-121.8032
NZEZ2,12/10/2009,38.1257,-121.6968
NZEZ6,12/10/2009,38.0845,-121.7391
NZEZ2,1/8/2010,38.088,-121.7432
NZEZ6,1/8/2010,38.073,-121.7762
NZEZ2,2/10/2010,38.0697,-121.9908
NZEZ2,3/10/2010,38.0599,-121.99
NZEZ6,3/10/2010,38.0642,-122.0233
NZEZ2,4/7/2010,38.0485,-121.8882
NZEZ6,4/7/2010,38.0562,-121.9582
NZEZ2,5/7/2010,38.059,-121.967
NZEZ6,5/7/2010,38.0599,-121.99
NZEZ2,6/4/2010,38.0588,-121.9673
NZEZ6,6/4/2010,38.0599,-121.99
NZEZ2,7/6/2010,38.0625,-121.8205
NZEZ6,7/6/2010,38.0463,-121.9183
NZEZ2,8/4/2010,38.0625,-121.8205
NZEZ6,8/4/2010,38.0463,-121.9183
NZEZ2,9/15/2010,38.0783,-121.7633
NZEZ6,9/15/2010,38.0622,-121.8233
NZEZ2,10/14/2010,38.0845,-121.7391
NZEZ6,10/14/2010,38.064,-121.7913
NZEZ2,11/15/2010,38.1017,-121.7225
NZEZ6,11/15/2010,38.0678,-121.7822
NZEZ2,12/15/2010,38.0608,-121.814
NZEZ6,12/15/2010,38.0643,-121.8428
NZEZ2,1/14/2011,38.0533,-121.8743
NZEZ6,1/14/2011,38.0463,-121.9183
NZEZ2,2/14/2011,38.0668,-121.7902
NZEZ6,2/14/2011,38.0642,-121.8227
NZEZ2,3/14/2011,38.0532,-121.9465
NZEZ6,3/14/2011,38.0588,-121.9707
NZEZ2,4/14/2011,38.041,-122.115
NZEZ6,4/14/2011,38.0444,-122.1177
NZEZ2,5/16/2011,38.0595,-122.0702
NZEZ6,5/16/2011,38.0358,-122.1616
NZEZ2,6/8/2011,38.064,-122.0317
NZEZ6,6/8/2011,38.0652,-122.0558
NZEZ2,7/8/2011,38.066,-122.0432
NZEZ6,7/8/2011,38.0632,-122.0617
NZEZ2,8/23/2011,38.0623,-121.861
NZEZ6,8/23/2011,38.0573,-121.9768
NZEZ2,9/21/2011,38.0625,-121.8205
NZEZ6,9/21/2011,38.0511,-121.8819
NZEZ2,10/19/2011,38.0549,-121.8742
NZEZ6,10/19/2011,38.0533,-121.9453
NZEZ2,11/18/2011,38.0845,-121.7391
NZEZ6,11/18/2011,38.0625,-121.8205
NZEZ2,12/19/2011,38.0845,-121.7391
NZEZ6,12/19/2011,38.0645,-121.791
NZEZ2,1/19/2012,38.1032,-121.7232
NZEZ6,1/19/2012,38.0825,-121.7574
NZEZ2,2/15/2012,38.0603,-121.8048
NZEZ6,2/15/2012,38.0463,-121.9183
NZEZ2,3/16/2012,38.0678,-121.7833
NZEZ6,3/16/2012,38.0625,-121.8205
NZEZ2,4/13/2012,38.0519,-121.9357
NZEZ6,4/13/2012,38.0599,-121.99
NZEZ2,5/14/2012,38.0579,-121.9629
NZEZ6,5/14/2012,38.061,-122.0105
NZEZ2,6/13/2012,38.0669,-121.7842
NZEZ6,6/13/2012,38.057,-121.8702
NZEZ2,7/11/2012,38.0625,-121.8205
NZEZ6,7/11/2012,38.0463,-121.9183
NZEZ2,8/9/2012,38.0625,-121.8205
NZEZ6,8/9/2012,38.0463,-121.9183
NZEZ2,9/7/2012,38.0752,-121.769
NZEZ6,9/7/2012,38.0625,-121.8226
NZEZ2,10/8/2012,38.0845,-121.7391
NZEZ6,10/8/2012,38.0625,-121.8205
NZEZ2,11/7/2012,38.1179,-121.7027
NZEZ6,11/7/2012,38.0845,-121.7391
NZEZ2,12/10/2012,38.0599,-121.99
NZEZ6,12/10/2012,38.0588,-121.9995
NZEZ2,1/22/2013,38.0622,-121.8146
NZEZ6,1/22/2013,38.064,-121.8581
NZEZ2,2/21/2013,38.0633,-121.8613
NZEZ6,2/21/2013,38.0458,-121.9064
NZEZ2,3/22/2013,38.0612,-121.8191
NZEZ6,3/22/2013,38.0549,-121.875
NZEZ2,4/22/2013,38.0659,-121.7794
NZEZ6,4/22/2013,38.0623,-121.8608
NZEZ2,5/20/2013,38.0642,-121.8302
NZEZ6,5/20/2013,38.0465,-121.9107
NZEZ2,6/18/2013,38.0605,-121.8059
NZEZ6,6/18/2013,38.0458,-121.9064
NZEZ2,7/17/2013,38.0643,-121.7913
NZEZ6,7/17/2013,38.0625,-121.8562
NZEZ2,8/14/2013,38.0688,-121.7802
NZEZ6,8/14/2013,38.0634,-121.8516
NZEZ2,9/25/2013,38.0807,-121.7607
NZEZ6,9/25/2013,38.0649,-121.8361
NZEZ2,10/11/2013,38.0998,-121.7283
NZEZ6,10/11/2013,38.0731,-121.774
NZEZ2,11/12/2013,38.1192,-121.7017
NZEZ6,11/12/2013,38.0862,-121.7469
NZEZ2,12/11/2013,38.119,-121.702
NZEZ6,12/11/2013,38.0847,-121.738
NZEZ2,1/10/2014,38.1397,-121.6908
NZEZ6,1/10/2014,38.0845,-121.7391
NZEZ2,2/10/2014,38.1068,-121.7173
NZEZ6,2/10/2014,38.0845,-121.7391
NZEZ2,3/10/2014,38.0582,-121.8693
NZEZ6,3/10/2014,38.0463,-121.9183
NZEZ2,4/9/2014,38.0604,-121.7998
NZEZ6,4/9/2014,38.0487,-121.8819
NZEZ2,5/9/2014,38.0845,-121.7391
NZEZ6,5/9/2014,38.0625,-121.8205
NZEZ2SJR,6/4/2014,38.0753,-121.6777
NZEZ6SJR,6/4/2014,38.0284,-121.7513
NZEZ2,6/6/2014,38.1125,-121.7081
NZEZ6,6/6/2014,38.0845,-121.7391
NZEZ2SJR,7/2/2014,38.0701,-121.6769
NZEZ6SJR,7/2/2014,38.0216,-121.8063
NZEZ2,7/7/2014,38.1012,-121.726
NZEZ6,7/7/2014,38.0653,-121.7893
NZEZ2SJR,8/14/2014,38.0541,-121.6885
NZEZ6SJR,8/14/2014,38.0259,-121.7809
NZEZ2,8/19/2014,38.1082,-121.7164
NZEZ6,8/19/2014,38.0845,-121.7391
NZEZ2SJR,9/15/2014,38.0576,-121.6815
NZEZ6SJR,9/15/2014,38.0216,-121.8063
NZEZ2,9/18/2014,38.1231,-121.6987
NZEZ6,9/18/2014,38.0845,-121.7391
NZEZ2SJR,10/1/2014,38.0688,-121.6778
NZEZ6SJR,10/1/2014,38.0272,-121.7432
NZEZ2,10/3/2014,38.1341,-121.6943
NZEZ6,10/3/2014,38.0845,-121.7391
NZEZ2SJR,11/12/2014,38.0563,-121.6841
NZEZ6SJR,11/12/2014,38.0284,-121.7692
NZEZ2,11/14/2014,38.1311,-121.6951
NZEZ6,11/14/2014,38.0845,-121.7391
NZEZ2,12/17/2014,38.0556,-121.8762
NZEZ6,12/17/2014,38.0463,-121.9183
NZEZ2,1/16/2015,38.0845,-121.7391
NZEZ6,1/16/2015,38.0618,-121.7911
NZEZ2,2/13/2015,38.0625,-121.8565
NZEZ6,2/13/2015,38.0463,-121.9183
NZEZ2,3/13/2015,38.0845,-121.7391
NZEZ6,3/13/2015,38.0625,-121.8205
NZEZ2SJR,4/9/2015,38.0482,-121.6932
NZEZ6SJR,4/9/2015,38.0216,-121.8063
NZEZ2,4/13/2015,38.1185,-121.701
NZEZ6,4/13/2015,38.0747,-121.7692
NZEZ2,5/13/2015,38.1223,-121.6996
NZEZ6,5/13/2015,38.0845,-121.7391
NZEZ2SJR,6/8/2015,38.0695,-121.6769
NZEZ6SJR,6/8/2015,38.0281,-121.7473
NZEZ2,6/10/2015,38.1159,-121.706
NZEZ6,6/10/2015,38.0845,-121.7391
NZEZ2SJR,7/8/2015,38.0969,-121.6691
NZEZ6SJR,7/8/2015,38.0274,-121.744
NZEZ2,7/10/2015,38.1407,-121.6911
NZEZ6,7/10/2015,38.0845,-121.7391
NZEZ2SJR,8/19/2015,38.0969,-121.6691
NZEZ6SJR,8/19/2015,38.024,-121.7925
NZEZ2,8/25/2015,38.1123,-121.7091
NZEZ6,8/25/2015,38.0831,-121.7541
NZEZ2SJR,9/17/2015,38.0871,-121.6463
NZEZ6SJR,9/17/2015,38.0324,-121.7241
NZEZ2,9/22/2015,38.1642,-121.679
NZEZ6,9/22/2015,38.1216,-121.699
NZEZ2,10/21/2015,38.1412,-121.6912
NZEZ6,10/21/2015,38.0997,-121.7218
NZEZ2SJR,10/27/2015,NA,NA
NZEZ6SJR,10/27/2015,NA,NA
NZEZ2SJR,11/2/2015,38.067,-121.6767
NZEZ6SJR,11/2/2015,38.0275,-121.7475
NZEZ2,11/4/2015,38.1387,-121.6924
NZEZ6,11/4/2015,38.0845,-121.7391
NZEZ2SJR,12/2/2015,38.0969,-121.6691
NZEZ6SJR,12/2/2015,38.0303,-121.7339
NZEZ2,12/4/2015,38.1607,-121.683
NZEZ6,12/4/2015,38.1257,-121.6973
NZEZ2SJR,1/4/2016,38.0691,-121.6783
NZEZ6SJR,1/4/2016,38.0325,-121.7266
NZEZ2,1/6/2016,38.1381,-121.6937
NZEZ6,1/6/2016,38.1126,-121.7104
NZEZ2,2/3/2016,38.055,-121.953
NZEZ6,2/3/2016,38.0599,-121.99
NZEZ2,3/4/2016,38.0751,-121.7695
NZEZ6,3/4/2016,38.0625,-121.8205
NZEZ2,4/15/2016,38.0607,-122.0013
NZEZ6,4/15/2016,38.0661,-122.0435
NZEZ2,5/13/2016,38.0625,-121.8205
NZEZ6,5/13/2016,38.0463,-121.9183
NZEZ2,6/13/2016,38.0642,-121.7923
NZEZ6,6/13/2016,38.0594,-121.8672
NZEZ2,7/13/2016,38.0655,-121.7891
NZEZ6,7/13/2016,38.064,-121.8592
NZEZ2SJR,8/8/2016,38.0227,-121.7988
NZEZ2,8/10/2016,38.0608,-121.7982
NZEZ6,8/10/2016,38.0639,-121.8585
NZEZ2,9/12/2016,38.0845,-121.7391
NZEZ6,9/12/2016,38.0631,-121.7933
NZEZ2SJR,10/20/2016,38.0479,-121.6937
NZEZ6SJR,10/20/2016,38.0216,-121.8063
NZEZ2,10/24/2016,38.1279,-121.6965
NZEZ6,10/24/2016,38.0845,-121.7391
NZEZ2SJR,11/3/2016,38.0565,-121.685
NZEZ6SJR,11/3/2016,38.0244,-121.795
NZEZ2,11/7/2016,38.1045,-121.7206
NZEZ6,11/7/2016,38.0674,-121.7842
NZEZ2SJR,12/8/2016,38.0499,-121.6928
NZEZ2,12/9/2016,38.0913,-121.7384
NZEZ6,12/9/2016,38.0711,-121.7781
NZEZ2,1/11/2017,38.0372,-122.1643
NZEZ6,1/11/2017,38.0584,-122.1845
NZEZ2,2/10/2017,38.0652,-122.2427
